Comment,target
Colbert used my joke!,ok
I love you so much please marry me,ok
It's cause you have the 'best' sense of humor ever xD,ok
Just keep rocking there Sir. Make it happen don't ever let those lefties burn you down! Respect!,maybe
You really do believe you are the center of the universe?! More like a megalomaniac with an inferiority complex president Trump_,no
There's no such thing as an original thought,ok
"First he blames everyone for his blunders, now he claim Co uses his joke................yup, joke is everytime he says the word Trump",ok
He loves my shit,maybe
He licks your shit*** sorry just correcting that.,no
President Donald J Trump That's because your shit smells so sweet on Facebook.,no
"I remember when our president became the president and he finished us hundred days with lot of achievements and great things, It worth celebrating",ok
"Act like a real POTUS! Stop worrying about ratings, Divest Donald Trump, Divest. Get your children out of the White House, take care of what's left of your mental faculties and get a White House Psychologist. Show the country your tax returns and RESPECT the constitution.",ok
Lol dummy.,no
"It is not possible to have an impact on the economy in 100 days. You are seeing the effects of the 'terrorist' of which you are speaking. You, sir, are a double bag",no
Or douche bag had spell check not erred,no
"Nathan Hogaboom, how about you put you put your big girl panties on and give the President a chance. We went through 8 years of destruction. Something that you probably benefited from while the people that earned their keep suffered. Dumbass",no
Sounds like a freaking antitrump feminist hillary supporter who went to college and cant find a job while living in their parents basement and fucking their best friends girlfreind who attended the womens march...,no
a douche bag of your magnitude can cleanse a whale's vagina,no
I'm not disabled I'm a NURSE.. I will soon have to stop working which in turn I'll lose my insurance.. do u have any advice for me? I don't want to die in my 20s if u can help please help.. I trust ur advice more than u know,ok
"My doctor says I'm healthy, but I haven't seen my dick since I was a Democrat.",no
"We are Americans, time to put your shit aside and act like we are one, take care of each other, and stop the bullshit talk, nobody has to like anyone else, but if your so unhappy leave, or try to make this country better people., grow up",ok
Why these Idiots didn't say this when Obama was the president now they ask us to be better then they were lol,no
"Keep telling yourself that, delusional, narcissistic, mentally unstable, lying, loser MOTUS!!!! LMFAO!!!! When are you going to realize that you're a moron & you have nothing intelligent coming out of your mouth?!!",no
Hey trumpster why don't you just step down and go back to your rich life and stop fucking the United States of America over your a joke lieing piece of shit and need to go take your family with you just go to Russia since your all buddy buddy with Putin gtfo of the Whitehouse,no
"ÊWouldn't you like to move to Russia to be closer to Putin? He's the reason you were elected. Leave before our nation is totally polluted, rancid, and worthless. Never has a president been so parasitic, destructive, immature, and clueless. Take Pruitt, Ryan, and all your cabinet members with you.",no
"Watching you live on TV right now. You are one ugly ORANGE fraud. Maybe take that CON stamp off your forehead. Oh, and the crowd applauding, lol, not very enthusiastic are they.",no
you can literally see the curvature on the ISS video HAHAHAHA YOU DUMB FUCK,no
you people are fucking retarded. do humanity a favor and go jump off the edge of your imaginary flat plane.,no
i Just had to comment to prove this whole video wrong. one major fact they left out how would the seasons change if the sun was circling a flat earth at the same distance. Proves that the earth is round and spins around orbiting the sun getting further and closer which the seasons start at the same time every year. sorry had to come make this video worthless,ok
"Aaron ,ok but if you climb the Antarctica,go to the end,then can you fall off the edge? And why the Moon is upside down in Australia?",ok
It should be a crime to upload videos in 240p in 2017.,ok
"Well that's it! Rewrite the science books everybody. Turns out the earth is flat! Oh wait, there's people in space right now. Plus hundreds of thousands of other people who worked to get them there. And none of them have ""spilled the beans"" about a huge global conspiracy to get rich. Ok. At least Shaq is on your side though",ok
The earth is NOT flat you goddamn retard.,no
